时间,错误量
1513434292948,0
1513434302961,0
1513434312971,0
1513434787921,0
1513434797929,0
1513434807932,0
1513434817985,0
1513434827984,0
1513434837987,0
1513434911073,0
1513434921081,0
1513434931081,0
1513435060306,0
1513435070307,0
1513435195884,0
1513435205885,0
1513435251473,0
1513435261472,0
1513435271471,0
1513435281474,0
1513435291476,0
1513435301481,0
1513435311481,0
1513435321481,0
1513435331482,0
1513435455042,0
1513435465043,0
1513435475043,0
1513435485061,0
1513435495055,0
1513435505056,0
1513435515057,0
1513435525058,0
