时间,错误量
1513820587101,0
1513820597100,0
1513820607098,0
1513820617103,0
1513820627099,0
1513820637101,0
1513820647108,0
1513820657101,0
1513820667102,0
1513820677102,0
1513820687102,0
1513820697105,0
1513820707106,0
1513820717106,0
1513820727106,0
1513820737107,0
1513820747107,0
1513820757109,0
1513820767109,0
1513820777109,0
1513820787110,0
1513820797109,0
1513820807110,0
1513820817109,0
1513820845562,0
1513820855558,0
1513820873993,0
1513820883993,0
1513820893989,0
1513820903996,0
1513820913997,0
1513820923995,0
1513820933996,0
1513820943996,0
1513820953996,0
1513820963996,0
1513820973997,0
1513820984000,0
1513820994001,0
1513821004002,0
1513821014001,0
1513821024002,0
1513821034007,0
1513821044009,0
1513821054009,0
1513821064010,0
1513821074011,0
1513821084011,0
1513821094012,0
1513821104015,0
1513821114016,0
1513821124016,0
1513821134017,0
1513821144018,0
1513821154018,0
1513821164021,0
1513821174021,0
1513821184022,0
1513821194022,0
1513821204023,0
1513821214024,0
1513826536380,0
1513826546382,0
1513826556381,0
1513826566382,0
1513826576382,0
1513826586386,0
1513826674290,0
1513826684292,0
1513826694298,0
1513826704300,0
